Amenhotep IV, participant in, religious revolution
polytheistic, country, ancient Egypt
Second Intermediate Period, follows, Middle Kingdom
political aspirations, facet of, social identification
Upper Egypt, followed by, Lower Egypt
First Persian Occupation, followed by, Saite Period
Alexandria, capital of, province
stone architecture, country, ancient Egypt
Lent, has cause, sin
Middle Kingdom, time period, Ancient Egypt
spread in Egypt, subclass of, Christianity
Bible, country, Egypt
Ptolemy, notable work, history of Alexander's campaigns
sun and land gods, time period, ancient Egypt
architecture, country, ancient Egypt
monuments, time period, ancient Egypt
Christianity spread in Egypt, country, Egypt
political aspirations, instance of, social identification
Egypt, continent, Africa
art, country, ancient Egypt
Menes, family, first dynasty
Old, part of, Ancient Egypt
ancient Egypt, located in or next to body of water, Mediterranean
Sheshonq I, position held, pharaohs
Third Intermediate Period in Egypt, head of state, Ramesses XI
Sheshonq I, occupation, pharaoh
ancient Egypt, located in or next to body of water, Nile
belief in life after death, time period, ancient Egypt
Pharaoh, place of burial, pyramids
Middle Kingdom, country, Ancient Egypt
Egyptology, studies, ancient Egypt
desert, country, Egypt
conquered Egypt, participant, Alexander the Great
Third Intermediate Period, country, Ancient Egypt
sin, has effect, Lent
First Persian Occupation, part of, Saite Period
pyramid building, subclass of, temple construction
Upper Egypt, replaces, Lower Egypt
Lower Egypt, shares border with, Upper Egypt
Queen Hatshepsut, occupation, royal women
pharaoh, part of, Egyptian culture
Egypt, diplomatic relation, Rome
Akhenaton, time period, New Kingdom
flood cycle, facet of, Nile River
Romans, shares border with, Egypt
beaches, country, Egypt
Great Library of Alexandria, creator, Ptolemy
agriculture, time period, Neolithic
Middle Kingdom, instance of, foreign policy
Euclid, occupation, mathematician
Pharaoh, applies to jurisdiction, Egypt
Second Dynasties, follows, First
Pharaoh, uses, pyramids
Alexander the Great, conflict, conquered Egypt
pharaoh, applies to jurisdiction, united Egypt
separate kings, time period, Before the unification
resurrection, subclass of, preserve the dead for
resorts, country, Egypt
Egyptian calendar, instance of, development
Egypt, instance of, desert
Alexander the Great, time period, Macedon
Old Kingdom, time period, Ancient Egypt
Zoser, time period, Old Kingdom
Hatshepsut, occupation, royal women
Tour Egypt, country, Egypt
papyrus, use, hieroglyphics
Ramesside Period, country, ancient Egypt
fasting, part of, Lent
Great Pyramid at Giza, instance of, pyramid-building
Egypt, present in work, Bible
Ramesside Period, part of, ancient Egypt
Alexander's conquest, participant, Persia
Great Pyramid at Giza, part of, Seven Wonders of the ancient world
religious revolution, participant, Amenhotep IV
life after death, time period, ancient Egypt
New Kingdom, head of state, Ahmose I
pharaoh, applies to jurisdiction, Egypt
pyramids, country, ancient Egypt
Cairo, country, Egypt
