nation, stretch, inhabit
fall, leave, legacy
list, add, locate
km, consist, situate
km, consist, represent
km, consist, relate
km, consist, cause
boko, represent, example
architecture, blend, worship
ancestor, worship, concept
temple, cover, meter
compromise, affect, compromise
set, affect, compromise
tourism, exert, note
challenge, face, deterioration
cause, need, research
merapi, consider, happen
ash, happen, mtce
province, conduct, approach
study, integrate, comprise
compound, comprise, partnership
city, encourage, activity
program, include, raise
program, include, promote
program, include, create
mtce, recognize, project
wahyuni, bring, idea
park, know, find
specie, find, consider
komodoensis, consider, cover
komodoensis, consider, consist
komodoensis, consider, locate
lizard, cover, area
btnk, locate, declare
area, declare, endanger
protect, endanger, island
whs, inhabit, consist
whs, inhabit, rely
people, rely, fish
park, suggest, distribute
unesco, distribute, impact
visitor, reveal, note
goodwin, note, develop
tourism, develop, create
pashkevich, create, market
knp, feature, activity
fletcher, characterize, perceive
fletcher, characterize, relate
fletcher, characterize, include
fletcher, characterize, annals
tourism, characterize, perceive
tourism, characterize, relate
tourism, characterize, include
tourism, characterize, annals
conservationist, perceive, manage
stakeholder, manage, matter
knp, include, site
management, annals, wisata
sharapova, promote, borobudur
karma, bring, http
detail/175, breaking, http
record, declares, world
