image, sit, organization
title, sit, country
introductionthe, sit, temple
temple, contain, platform
panel, decorate, locate
statue, feature, stone
statue, feature, like 
statue, feature, inside platform stone
picture, tell, sit
picture, tell, shape
picture, tell, look
picture, tell, know
picture, tell, appear
picture, tell, symbolize
picture, tell, desire
thing, look, like 
muscle, know, statue
muscle, know, appear
damage, appear, erode
erosion, compare, analysis
place, worship, compound
formlessness, determine, locate
determine, represent, division
statue, locate, temple
use, know, display
use, know, convey
use, know, mean
use, know, symbolize
mudra, convey, meaning
mudra, convey, carry
gesture, carry, find
statue, find, know
mudra, know, gesture
temple, mean, finger
temple, mean, stand
hand, stand, combine
method, combine, raise
capacity, enlighten, hand
follow, combine, teach
combine, think, leave
combine, think, imply
combine, think, serve
combine, think, understand
combine, think, convey
combine, think, enlighten
combine, think, journal
formlessness, convey, message
pilgrimage, tell, method
capacity, think, leave
capacity, think, imply
capacity, think, serve
capacity, think, understand
capacity, think, convey
capacity, think, enlighten
capacity, think, journal
faith, leave, wander
buddhist, leave, wander
pilgrimage, strive, look
meditation, understand, display
statue, display, learn
symbolism, learn, culture
statue, convey, faith
