james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, place of birth, placed, , port conway virginia
port conway, located in the administrative territorial entity, placed, , virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, place of birth, placed, , port conway virginia
port conway, located in the administrative territorial entity, placed, , virginia
james dolley madison, place of birth, placed, , port conway virginia
port conway, located in the administrative territorial entity, placed, , virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
james dolley madison, date of birth, placed, , march 16 1751
james dolley madison, place of birth, placed, , port conway virginia
mount pleasant, located in the administrative territorial entity, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier plantation
mount pleasant, located on terrain feature, placed, , montpelier plantation
mount pleasant, located in the administrative territorial entity, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier plantation
mount pleasant, located in the administrative territorial entity, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier plantation
mount pleasant, located in the administrative territorial entity, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier plantation
mount pleasant, located in the administrative territorial entity, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier plantation
mount pleasant, located in the administrative territorial entity, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier
mount pleasant, located on terrain feature, placed, , montpelier plantation
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king, shares border with, placed, , queen county
queen county, shares border with, placed, , king
king and queen county, capital, placed, , madison
king and queen county, office held by head of government, placed, , king
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
king and queen county, capital, placed, , madison
algebra, part of, placed, , geometry
geometry, has part, placed, , algebra
algebra, part of, placed, , geometry
geometry, has part, placed, , algebra
princeton university, located in the administrative territorial entity, placed, , new jersey
princeton university, inception, placed, , 1771
college of new jersey, part of, placed, , princeton university
princeton university, has part, placed, , college of new jersey
princeton university, located in the administrative territorial entity, placed, , new jersey
princeton university, inception, placed, , 1771
college of new jersey, part of, placed, , princeton university
princeton university, has part, placed, , college of new jersey
ethics, facet of, placed, , hebrew
hebrew, studied by, entered, by, placed, , ethics
hebrew, part of, placed, , ethics
ethics, facet of, placed, , hebrew
hebrew, studied by, entered, by, placed, , ethics
hebrew, part of, placed, , ethics
1814 general election, point in time, placed, , 1814
1822 general election, point in time, placed, , 1822
1824 general election, point in time, placed, , 1824
1814 general election, point in time, placed, , 1814
1822 general election, point in time, placed, , 1822
1824 general election, point in time, placed, , 1824
1814 general election, point in time, placed, , 1814
1822 general election, point in time, placed, , 1822
1824 general election, point in time, placed, , 1824
great britain, diplomatic relation, placed, , colonies
colonies, diplomatic relation, placed, , great britain
great britain, shares border with, placed, , colonies
colonies, shares border with, placed, , great britain
great britain, diplomatic relation, placed, , colonies
colonies, diplomatic relation, placed, , great britain
american, replaces, placed, , colonies
great britain, shares border with, placed, , colonies
colonies, shares border with, placed, , great britain
great britain, diplomatic relation, placed, , colonies
colonies, diplomatic relation, placed, , great britain
great britain, shares border with, placed, , colonies
colonies, shares border with, placed, , great britain
great britain, diplomatic relation, placed, , colonies
colonies, diplomatic relation, placed, , great britain
great britain, shares border with, placed, , colonies
colonies, shares border with, placed, , great britain
1776 virginia convention, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
1774, point in time, placed, , 1774
