nirvanaas, walk, breath
building, enter, remove
cushion, face, walk
cushion, face, introduce
monk, introduce, buddhism
travel, impart, face
travel, impart, knowledge
travel, impart, introduction
meet, convert, buddhism
sense, understand, affect
structure, represent, stage
structure, represent, starve
statue, starve, find
buddha, find, explain
monk, explain, attain
order, attain, realize
buddha, realize, starve
buddha, find, find
buddha, find, tree
buddha, find, meditate
session, meditate, monk
body, remind, session
body, remind, offer
body, remind, restore
buddha, offer, bury
temple, bury, start
government, start, project
level, symbolize, stage
level, explain, stun
view, stun, learn
landsite, burst, people
